"","yearmon","nombre.Agencia","Total"
"434",2012-05-01,"OFIC. EL QUIMBO",1054
"435",2012-06-01,"OFIC. EL QUIMBO",4.05
"436",2012-07-01,"OFIC. EL QUIMBO",10651.618
"437",2012-08-01,"OFIC. EL QUIMBO",1430
"438",2012-09-01,"OFIC. EL QUIMBO",908.26
"439",2012-10-01,"OFIC. EL QUIMBO",5206.12
"440",2012-11-01,"OFIC. EL QUIMBO",5168.162
"441",2012-12-01,"OFIC. EL QUIMBO",4640.198
"442",2013-01-01,"OFIC. EL QUIMBO",2200.108
"443",2013-02-01,"OFIC. EL QUIMBO",6820.276
"444",2013-03-01,"OFIC. EL QUIMBO",4455.204
"445",2013-04-01,"OFIC. EL QUIMBO",5606.222
"446",2013-05-01,"OFIC. EL QUIMBO",5168.222
"447",2013-06-01,"OFIC. EL QUIMBO",7370.33
"448",2013-07-01,"OFIC. EL QUIMBO",3749.108
"449",2013-08-01,"OFIC. EL QUIMBO",275
"450",2011-05-01,"OFIC. HIDROSOGAMOSO",11853.39
"451",2011-06-01,"OFIC. HIDROSOGAMOSO",9676.414
"452",2011-07-01,"OFIC. HIDROSOGAMOSO",16330.72
"453",2011-08-01,"OFIC. HIDROSOGAMOSO",11926.462
"454",2011-09-01,"OFIC. HIDROSOGAMOSO",13150.42
"455",2011-10-01,"OFIC. HIDROSOGAMOSO",10239.16
"456",2011-11-01,"OFIC. HIDROSOGAMOSO",9360.36
"457",2011-12-01,"OFIC. HIDROSOGAMOSO",7722.98
"458",2012-01-01,"OFIC. HIDROSOGAMOSO",8350.342
"459",2012-02-01,"OFIC. HIDROSOGAMOSO",8680.45
"460",2012-03-01,"OFIC. HIDROSOGAMOSO",8245.33
"461",2012-04-01,"OFIC. HIDROSOGAMOSO",10665.36
"462",2012-05-01,"OFIC. HIDROSOGAMOSO",8073.45
"463",2012-06-01,"OFIC. HIDROSOGAMOSO",6840.068
"464",2012-07-01,"OFIC. HIDROSOGAMOSO",9890.534
"465",2012-08-01,"OFIC. HIDROSOGAMOSO",4129.756
"466",2012-09-01,"OFIC. HIDROSOGAMOSO",6570.36
